Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	34.58	0.00	121.32	53.15
2	44.17	0.00	41.20	29.92
3	44.17	0.00	25.38	21.51
4	42.50	0.00	20.51	20.13
5	39.58	0.00	18.73	18.50
6	38.33	0.00	17.69	18.09
7	39.17	0.00	17.04	17.16
8	39.17	0.00	16.57	16.86
9	41.67	0.00	16.23	16.24
10	36.25	0.00	15.94	16.34
