Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	42.50	0.00	3334.41	1399.65
2	39.58	0.00	1084.69	750.81
3	40.42	0.00	641.30	512.30
4	42.92	0.00	503.56	489.72
5	41.67	0.00	454.56	451.25
6	41.67	0.00	431.85	442.58
7	43.75	0.00	424.53	416.40
8	37.50	0.00	418.91	431.88
9	38.33	0.00	414.96	417.65
10	42.50	0.00	412.23	418.37
