Migration_Rate	FST
1e-09	-0.0012695158033793064
1e-09	-0.00026476916713935594
1e-09	-0.0002855836470154749
1e-09	-0.0008192928732599913
1e-09	0.0007109297460254904
1e-09	0.00045846042718789004
1e-09	0.0005476152472938534
1e-09	3.829295942925359e-05
1e-09	0.00017638056551216863
1e-09	-0.00030495026979826534
1e-09	0.0011115030099524414
1e-09	-0.0006811370751309553
1e-09	-0.0009923181493041167
1e-09	0.0003420011494175146
1e-09	0.0007093751984791341
1e-09	0.00013116717675798473
1e-09	0.0037812174623597095
1e-09	-0.0008683991555133996
1e-09	0.0011363033096637443
1e-09	-0.0008766903743606669
1e-09	-0.0012055967326451977
1e-09	-0.0010651474069109934
1e-09	-0.0005960718527964204
1e-09	0.00034546882503028176
1e-09	-0.00045272186029388095
1e-09	0.0003131248464870451
1e-09	0.0003647952822265488
1e-09	-0.0004433580653062652
1e-09	0.0021121409922040257
1e-09	-0.0013182448112183387
1e-09	0.0003377280915071168
1e-09	0.0014517571613318347
1e-09	0.0006889008237372929
1e-09	-0.00043226201901447325
1e-09	-0.00028313040814342827
1e-09	-0.0005684121174704959
1e-09	0.00011765295203058912
1e-09	0.00024484256587786746
1e-09	0.0016270841934505897
1e-09	0.00026506172411944195
1e-09	-0.0017669879121802179
1e-09	0.0001810737767812265
1e-09	-0.00015039629374635766
1e-09	0.0012315185729950828
1e-09	-0.00019213180825783382
1e-09	-0.0007411698374002462
1e-09	0.0009943206366591628
1e-09	0.0010983090154731423
1e-09	0.00023059914935419368
1e-09	-0.0010071302226770662
1e-09	-9.390940880349419e-05
1e-09	0.001138553058588454
1e-09	0.0005827498057991987
1e-09	-0.00019549498767923446
1e-09	0.0009193990938919372
1e-09	0.0012083814948321558
1e-09	-0.0006951785987141523
1e-09	0.0005577455913221563
1e-09	-1.7961759093632068e-05
1e-09	-0.0009868378711213044
1e-09	-0.00030692594136727536
1e-09	-0.0011224441666222162
1e-09	-0.0006876578683132628
1e-09	0.0002149783369274072
1e-09	-0.0005023095884062467
1e-09	-0.0015001649813370932
1e-09	0.0023014224303548048
1e-09	-2.2244865591769525e-06
1e-09	0.0001445589448346718
1e-09	-0.0007078959946216212
1e-09	-0.0018725563763706266
1e-09	0.0013616211868195949
1e-09	-0.00042190537813247
1e-09	-0.0003131588611124947
1e-09	0.0005659210297253026
1e-09	0.0003047569409390105
1e-09	-0.001864089612181985
1e-09	0.0011596584974785662
1e-09	-0.0009126848858416192
1e-09	-0.0010193608176904956
1e-09	0.0007209206391981526
1e-09	-0.0004720720700335246
1e-09	-0.0008355345937487435
1e-09	2.201343476304629e-05
1e-09	-1.6779552267420783e-05
1e-09	-0.0002944260340786986
1e-09	0.0009775193326344578
1e-09	-0.00020957638434104808
1e-09	-0.0008456936034941798
1e-09	0.0002317935386931813
1e-09	-5.6005686078330896e-05
1e-09	0.000945490416764061
1e-09	-0.0010580341405987959
1e-09	-0.0002906558435213924
1e-09	0.001227967478826364
1e-09	0.00021072206203665012
1e-09	-0.0014476950893778096
1e-09	0.001017790565945642
1e-09	-0.000528677787041465
1e-09	0.0012440619114764129
1e-09	0.0009909873487580212
1e-09	0.0014929109666785845
1e-09	-0.00034655532848981707
1e-09	-0.0008139216606086741
1e-09	-0.0012902129880965063
1e-09	0.00022498895736766666
1e-09	0.0014955331183501563
1e-09	-0.0011630355736740317
1e-09	0.0004218614906178475
1e-09	0.0015533639235394414
1e-09	0.0002647150654174757
1e-09	0.001648416640319894
1e-09	-0.0009043601831946191
1e-09	-0.0014996067765880028
1e-09	0.0006969591584294887
1e-09	-0.0014721378414874753
1e-09	0.0002572382885555058
1e-09	0.00017218642727478972
1e-09	-0.0007739138991431638
1e-09	0.0009473742042384048
1e-09	-0.0004975426029005803
1e-09	-0.0010119400055348393
1e-09	0.0003956438249083094
1e-09	-0.0016089337737419385
1e-09	-0.0011590607269245101
1e-09	-0.00022348815190187388
1e-09	-0.0009203092722376294
