Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	39.17	0.00	122.51	47.69
2	57.92	0.00	23.94	29.30
3	77.08	0.00	2.42	97.63
4	93.33	0.00	0.50	156.30
5	98.75	0.00	0.04	196.00
6	100.00	0.00	0.00	224.03
7	100.00	0.00	0.00	244.61
8	100.00	0.00	0.00	259.94
9	100.00	0.00	0.00	271.28
10	100.00	0.00	0.00	279.44
