Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	34.69	16.67	1.69	1.10
2	37.60	17.50	1.10	1.13
3	51.46	91.67	1.00	0.55
4	91.25	100.00	0.29	0.04
5	99.90	100.00	0.02	0.00
6	100.00	100.00	0.00	0.00
7	100.00	100.00	0.00	0.00
8	100.00	100.00	0.00	0.00
9	100.00	100.00	0.00	0.00
10	100.00	100.00	0.00	0.00
