Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	37.50	0.00	61.77	34.43
2	41.67	0.00	25.14	17.54
3	34.58	0.00	13.36	9.90
4	42.50	0.00	7.37	5.61
5	42.50	0.00	4.29	4.00
6	41.25	0.00	2.67	2.84
7	41.25	0.00	1.87	1.90
8	44.58	0.00	1.49	1.69
9	41.67	0.00	1.30	1.84
10	44.17	0.00	1.18	2.03
