Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	40.00	0.00	6.28	2.70
2	41.67	0.00	2.55	2.38
3	41.25	0.00	2.20	2.12
4	41.67	0.00	1.97	1.97
5	41.25	0.00	1.83	1.89
6	41.67	0.00	1.71	1.80
7	41.67	0.00	1.63	1.75
8	41.67	0.00	1.57	1.73
9	41.67	0.00	1.52	1.72
10	41.67	0.00	1.49	1.72
