Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	35.83	0.00	44.21	26.72
2	39.58	0.00	21.34	17.03
3	37.92	0.00	14.70	12.84
4	39.58	0.00	11.09	9.98
5	42.50	0.00	8.66	7.95
6	44.58	0.00	6.87	6.53
7	40.42	0.00	5.54	5.45
8	43.75	0.00	4.47	4.16
9	39.58	0.00	3.69	3.70
10	40.42	0.00	3.07	3.14
