Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	38.75	0.00	4.05	1.17
2	44.17	0.00	1.09	1.13
3	65.00	0.00	1.08	1.18
4	63.33	0.00	1.05	1.62
5	60.42	0.00	0.97	1.44
6	79.17	0.00	0.86	1.71
7	82.08	0.00	0.63	2.22
8	97.08	0.00	0.30	2.06
9	100.00	0.00	0.07	2.36
10	100.00	0.00	0.01	2.93
