Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	40.42	0.00	10000.91	4198.33
2	32.50	0.00	3251.59	2256.28
3	39.58	0.00	1927.93	1520.39
4	38.33	0.00	1516.12	1499.08
5	41.67	0.00	1384.01	1386.02
6	41.67	0.00	1322.68	1384.11
7	39.17	0.00	1318.70	1283.94
8	41.67	0.00	1301.86	1355.76
9	37.50	0.00	1297.52	1316.84
10	43.33	0.00	1296.54	1319.93
