Epoch (%)	Training Accuracy (%)	Validation Accuracy (%)	Training Loss (%)	Validation Loss (%)
1	38.75	100.00	5557.41	2331.64
2	39.17	0.00	1807.05	1251.73
3	42.08	0.00	1068.83	847.82
4	40.42	0.00	839.26	824.33
5	41.67	0.00	763.81	762.44
6	41.67	0.00	731.12	761.47
7	41.67	0.00	727.59	713.20
8	41.67	0.00	720.87	750.44
9	41.67	0.00	718.34	728.77
10	41.67	0.00	718.32	729.22
